Number of Threads: 1
[ITP_1d]: energy_diff = -0.8235418994179267
[ITP_1d]: energy_diff = 0.6101586088220032
[ITP_1d]: energy_diff = -0.043637670161714326
[ITP_1d]: energy_diff = -0.03923094901434315
[ITP_1d]: energy_diff = -0.03532067194532168
[ITP_1d]: energy_diff = -0.0318320112462806
[ITP_1d]: energy_diff = -0.02871092515944601
[ITP_1d]: energy_diff = -0.02591360293145506
[ITP_1d]: energy_diff = -0.023402890155304
[ITP_1d]: energy_diff = -0.021146726075742417
[ITP_1d]: energy_diff = -0.019117228973792644
[ITP_1d]: energy_diff = -0.017290032807882383
[ITP_1d]: energy_diff = -0.015643755303610618
[ITP_1d]: energy_diff = -0.014159557644229492
[ITP_1d]: energy_diff = -0.012820778088549312
[ITP_1d]: energy_diff = -0.011612627628189043
[ITP_1d]: energy_diff = -0.010521937505728496
[ITP_1d]: energy_diff = -0.00953694946494632
[ITP_1d]: energy_diff = -0.008647140737993886
[ITP_1d]: energy_diff = -0.007843077009331512
[ITP_1d]: energy_diff = -0.0071162878158915754
[ITP_1d]: energy_diff = -0.006459159951272331
[ITP_1d]: energy_diff = -0.005864845390636253
[ITP_1d]: energy_diff = -0.005327181030646888
[ITP_1d]: energy_diff = -0.0048406181558656725
[ITP_1d]: energy_diff = -0.0044001600210181735
[ITP_1d]: energy_diff = -0.004001306301973595
[ITP_1d]: energy_diff = -0.003640003440905093
[ITP_1d]: energy_diff = -0.003312600113852926
[ITP_1d]: energy_diff = -0.0030158071990251667
[ITP_1d]: energy_diff = -0.0027466617351504796
[ITP_1d]: energy_diff = -0.002502494442198633
[ITP_1d]: energy_diff = -0.0022809004390088594
[ITP_1d]: energy_diff = -0.0020797128403974297
[ITP_1d]: energy_diff = -0.0018969789538544335
[ITP_1d]: energy_diff = -0.0017309388263302417
[ITP_1d]: energy_diff = -0.0015800059167799807
[ITP_1d]: energy_diff = -0.0014427496916313842
[ITP_1d]: energy_diff = -0.0013178799590302104
[ITP_1d]: energy_diff = -0.0012042327744963277
[ITP_1d]: energy_diff = -0.0011007577655265388
[ITP_1d]: energy_diff = -0.00100650673654068
[ITP_1d]: energy_diff = -0.0009206234280028092
[ITP_1d]: energy_diff = -0.0008423343151896523
[ITP_1d]: energy_diff = -0.0007709403426480188
[ITP_1d]: energy_diff = -0.000705809500176735
[ITP_1d]: energy_diff = -0.0006463701551554513
[ITP_1d]: energy_diff = -0.000592105064251891
[ITP_1d]: energy_diff = -0.0005425459950723077
[ITP_1d]: energy_diff = -0.0004972688952099569
[ITP_1d]: energy_diff = -0.00045588955234143747
[ITP_1d]: energy_diff = -0.000418059694807682
[ITP_1d]: energy_diff = -0.0003834634871179299
[ITP_1d]: energy_diff = -0.00035181437961451234
[ITP_1d]: energy_diff = -0.0003228522756439922
[ITP_1d]: energy_diff = -0.00029634098343955806
[ITP_1d]: energy_diff = -0.0002720659232466893
[ITP_1d]: energy_diff = -0.000249832063425548
[ITP_1d]: energy_diff = -0.00022946206182772322
[ITP_1d]: energy_diff = -0.0002107945914359144
[ITP_1d]: energy_diff = -0.00019368283129361785
[ITP_1d]: energy_diff = -0.00017799310580579597
[ITP_1d]: energy_diff = -0.00016360365728362858
[ITP_1d]: energy_diff = -0.00015040353815787277
[ITP_1d]: energy_diff = -0.000138291610733976
[ITP_1d]: energy_diff = -0.0001271756436009852
[ITP_1d]: energy_diff = -0.00011697149496048276
[ITP_1d]: energy_diff = -0.0001076023741868326
[ITP_1d]: energy_diff = -9.899817375846887e-5
[ITP_1d]: energy_diff = -9.109486458636074e-5
[ITP_1d]: energy_diff = -8.38339484477979e-5
[ITP_1d]: energy_diff = -7.71619618972208e-5
[ITP_1d]: energy_diff = -7.103002659258895e-5
[ITP_1d]: energy_diff = -6.539344149791848e-5
[ITP_1d]: energy_diff = -6.021131290856463e-5
[ITP_1d]: energy_diff = -5.544621859632226e-5
[ITP_1d]: energy_diff = -5.106390281839346e-5
[ITP_1d]: energy_diff = -4.7032999212714977e-5
[ITP_1d]: energy_diff = -4.332477892377007e-5
[ITP_1d]: energy_diff = -3.991292155036685e-5
[ITP_1d]: energy_diff = -3.6773306763659974e-5
[ITP_1d]: energy_diff = -3.388382464419859e-5
[ITP_1d]: energy_diff = -3.122420300449846e-5
[ITP_1d]: energy_diff = -2.8775850061668606e-5
[ITP_1d]: energy_diff = -2.652171109229773e-5
[ITP_1d]: energy_diff = -2.44461377441052e-5
[ITP_1d]: energy_diff = -2.2534768858717413e-5
[ITP_1d]: energy_diff = -2.077442171799504e-5
[ITP_1d]: energy_diff = -1.915299280574878e-5
[ITP_1d]: energy_diff = -1.7659367193223474e-5
[ITP_1d]: energy_diff = -1.6283335780520325e-5
[ITP_1d]: energy_diff = -1.5015519683747591e-5
[ITP_1d]: energy_diff = -1.3847301126523881e-5
[ITP_1d]: energy_diff = -1.277076024752688e-5
[ITP_1d]: energy_diff = -1.1778617330593377e-5
[ITP_1d]: energy_diff = -1.0864179925240691e-5
[ITP_1d]: energy_diff = -1.0021294484352516e-5
[ITP_1d]: energy_diff = -9.244302069499888e-6
[ITP_1d]: energy_diff = -8.527997815588328e-6
[ITP_1d]: energy_diff = -7.86759376947277e-6
[ITP_1d]: energy_diff = -7.258684895594669e-6
[ITP_1d]: energy_diff = -6.697217865614391e-6
[ITP_1d]: energy_diff = -6.1794625069167e-6
[ITP_1d]: energy_diff = -5.701985570816248e-6
[ITP_1d]: energy_diff = -5.261626727315338e-6
[ITP_1d]: energy_diff = -4.855476497755973e-6
[ITP_1d]: energy_diff = -4.4808560444309364e-6
[ITP_1d]: energy_diff = -4.135298605656423e-6
[ITP_1d]: energy_diff = -3.816532453182475e-6
[ITP_1d]: energy_diff = -3.522465258809504e-6
[ITP_1d]: energy_diff = -3.251169728657466e-6
[ITP_1d]: energy_diff = -3.000870408276235e-6
[ITP_1d]: energy_diff = -2.769931560564487e-6
[ITP_1d]: energy_diff = -2.5568460454428177e-6
[ITP_1d]: energy_diff = -2.3602250661669544e-6
[ITP_1d]: energy_diff = -2.1787887856117294e-6
[ITP_1d]: energy_diff = -2.0113576663094435e-6
[ITP_1d]: energy_diff = -1.8568445298017267e-6
[ITP_1d]: energy_diff = -1.714247237272204e-6
[ITP_1d]: energy_diff = -1.5826419825781812e-6
